Intake Type,Intake Condition,Animal Type,Breed,Color,Outcome Type
Stray,Normal,Dog,Border Collie Mix,Brown/White,Transfer
Stray,Nursing,Dog,Pit Bull Mix,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair,Black/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Blue/White,Transfer
Public Assist,Normal,Cat,American Shorthair Mix,Tortie,Transfer
Owner Surrender,Normal,Cat,Domestic Medium Hair Mix,Tortie,Euthanasia
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Injured,Dog,Labrador Retriever/Pit Bull,Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Stray,Normal,Cat,Domestic Medium Hair Mix,Blue/White,Adoption
Public Assist,Normal,Dog,Dachshund,Red,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair,Brown Tabby/White,Transfer
Owner Surrender,Normal,Dog,German Shepherd Mix,Sable,Transfer
Stray,Normal,Dog,American Pit Bull Terrier/Labrador Retriever,Brown Brindle/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Euthanasia
Owner Surrender,Nursing,Cat,Domestic Shorthair,Black,Transfer
Stray,Normal,Dog,German Shepherd Mix,Tan/Brown,Transfer
Stray,Normal,Dog,Mastiff,Brown,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Brown/Black,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Tan/White,Transfer
Stray,Normal,Dog,Catahoula Mix,Brown Merle,Adoption
Stray,Injured,Dog,Australian Cattle Dog Mix,Red Tick,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black Tabby,Adoption
Owner Surrender,Normal,Dog,German Shepherd/Collie Smooth,Brown/White,Transfer
Stray,Normal,Dog,German Shepherd Mix,Brown/Black,Transfer
Public Assist,Normal,Dog,Catahoula Mix,White/Black,Transfer
Stray,Normal,Dog,Beagle Mix,Red/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Alaskan Husky Mix,White,Adoption
Owner Surrender,Normal,Dog,American Pit Bull Terrier Mix,Brown/White,Adoption
Stray,Normal,Dog,Pit Bull Mix,Tan/White,Adoption
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Tan,Adoption
Stray,Normal,Dog,Pit Bull Mix,Blue/White,Adoption
Stray,Normal,Dog,Pit Bull Mix,White/Brown Brindle,Transfer
Owner Surrender,Normal,Cat,Domestic Medium Hair Mix,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,Brown Brindle/White,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Yellow,Adoption
Stray,Normal,Dog,Pug,Brown/Fawn,Adoption
Stray,Normal,Dog,Pit Bull Mix,Tan/White,Transfer
Owner Surrender,Normal,Dog,Pit Bull Mix,White/Brown,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Black,Transfer
Stray,Other,Dog,Labrador Retriever Mix,Black,Transfer
Stray,Normal,Dog,Pit Bull Mix,Brown Brindle/White,Adoption
Owner Surrender,Normal,Dog,Catahoula Mix,Red,Adoption
Stray,Normal,Dog,Labrador Retriever Mix,Black,Euthanasia
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Calico,Euthanasia
Stray,Normal,Dog,Australian Cattle Dog Mix,Black/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Euthanasia
Owner Surrender,Normal,Dog,American Pit Bull Terrier,Fawn/White,Transfer
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby/White,Adoption
Stray,Normal,Dog,Pug Mix,Tan/Black,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Tortie,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Calico,Transfer
Stray,Normal,Dog,Shetland Sheepdog Mix,Brown/White,Transfer
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Black/Brown,Transfer
Stray,Injured,Dog,Pit Bull Mix,Blue/White,Transfer
Stray,Normal,Dog,Border Collie Mix,White/Black,Euthanasia
Public Assist,Normal,Dog,Pit Bull Mix,Brown Brindle/White,Transfer
Stray,Normal,Dog,Doberman Pinsch,Black/Brown,Transfer
Stray,Normal,Dog,Alaskan Husky Mix,Black/White,Transfer
Stray,Normal,Dog,Catahoula Mix,Brown Brindle/White,Adoption
Owner Surrender,Normal,Dog,Miniature Poodle,White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Normal,Dog,Boxer Mix,Fawn/White,Adoption
Owner Surrender,Normal,Dog,Golden Retriever Mix,Brown,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby/White,Adoption
Stray,Normal,Dog,Rat Terrier Mix,White/Brown,Adoption
Owner Surrender,Normal,Dog,Smooth Fox Terrier Mix,Brown/White,Adoption
Public Assist,Normal,Dog,Boxer Mix,Black,Adoption
Stray,Nursing,Dog,Rat Terrier/Beagle,White/Black,Transfer
Stray,Normal,Cat,Domestic Shorthair,Calico,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Brown/White,Transfer
Stray,Normal,Dog,German Shepherd/Rottweiler,Chocolate/Tan,Adoption
Public Assist,Normal,Dog,Pit Bull Mix,Blue/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,Red/White,Transfer
Owner Surrender,Normal,Dog,Pit Bull Mix,Brown Brindle,Transfer
Stray,Normal,Dog,Border Collie Mix,Black/White,Adoption
Stray,Normal,Dog,Great Pyrenees Mix,White,Transfer
Public Assist,Normal,Dog,Australian Shepherd Mix,Brown/White,Transfer
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,Yellow Brindle,Transfer
Stray,Normal,Dog,Pit Bull Mix,White/Brown,Transfer
Stray,Normal,Dog,Pit Bull Mix,Brown Brindle/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,Blue/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Public Assist,Normal,Dog,Jack Russell Terrier Mix,White/Red,Transfer
Stray,Normal,Cat,Domestic Shorthair,White,Adoption
Stray,Normal,Dog,Great Pyrenees/Labrador Retriever,White,Euthanasia
Owner Surrender,Normal,Dog,Boxer/Pit Bull,Brown Brindle/White,Transfer
Public Assist,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Died
Stray,Normal,Dog,Plott Hound Mix,Brown Brindle,Transfer
Public Assist,Normal,Dog,Pit Bull Mix,Black/Brown,Euthanasia
Owner Surrender,Normal,Dog,Pit Bull Mix,Black/White,Transfer
Public Assist,Normal,Dog,Australian Cattle Dog Mix,White/Black,Adoption
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,Tan,Adoption
Owner Surrender,Injured,Dog,Chihuahua Shorthair Mix,Brown/Black,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Tortie/Black,Transfer
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,Tan/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Calico,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Blue,Transfer
Stray,Normal,Dog,Beagle Mix,Black/White,Transfer
Owner Surrender,Normal,Dog,Miniature Schnauzer Mix,Blue Merle,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,White/Brown,Adoption
Stray,Normal,Dog,Shih Tzu/Miniature Poodle,White/Black,Transfer
Public Assist,Normal,Cat,Domestic Shorthair Mix,Brown Tabby/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Blue,Euthanasia
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,White,Transfer
Owner Surrender,Normal,Dog,Miniature Poodle,White/White,Transfer
Owner Surrender,Normal,Cat,Domestic Longhair Mix,Black,Transfer
Stray,Normal,Cat,Domestic Medium Hair Mix,Blue Tabby,Euthanasia
Stray,Normal,Dog,Rat Terrier Mix,Tricolor,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Tan/White,Transfer
Public Assist,Normal,Dog,English Bulldog Mix,Brown/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,White/Black Tabby,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Transfer
Stray,Normal,Dog,Chow Chow/German Shepherd,Black,Adoption
Stray,Sick,Dog,Miniature Poodle/Shih Tzu,Gray/White,Adoption
Stray,Normal,Dog,Chihuahua Shorthair/Cairn Terrier,Cream,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Adoption
Stray,Normal,Dog,Dachshund Mix,Brown,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Brown/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Torbie,Adoption
Owner Surrender,Normal,Dog,Australian Cattle Dog Mix,Black/White,Missing
Stray,Normal,Cat,Siamese Mix,Flame Point,Transfer
Stray,Normal,Dog,Pit Bull Mix,Fawn/Tan,Transfer
Stray,Normal,Cat,Domestic Longhair Mix,Brown Tabby/White,Adoption
Stray,Normal,Dog,Boston Terrier Mix,Brown Brindle/White,Transfer
Public Assist,Normal,Dog,Mastiff Mix,Brown,Adoption
Stray,Normal,Dog,Border Collie Mix,Black/White,Adoption
Stray,Normal,Dog,Chihuahua Longhair Mix,Tan/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Torbie,Transfer
Stray,Normal,Dog,American Bulldog Mix,White/Black,Adoption
Owner Surrender,Normal,Dog,Black Mouth Cur Mix,Tan,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,White/Black,Transfer
Stray,Normal,Dog,Pit Bull/Boxer,Blue/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Gray/White,Adoption
Stray,Injured,Dog,Miniature Schnauzer Mix,Gray/Silver,Adoption
Public Assist,Normal,Dog,Miniature Poodle Mix,Buff,Transfer
Owner Surrender,Normal,Dog,Pit Bull/Labrador Retriever,Brown,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Normal,Dog,Doberman Pinsch,Chocolate,Adoption
Stray,Normal,Dog,Basset Hound/Australian Cattle Dog,Tricolor,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby/White,Adoption
Stray,Normal,Dog,American Bulldog Mix,Brown/White,Adoption
Stray,Normal,Other,Chinchilla-Stnd Mix,Gray,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair,Orange Tabby,Transfer
Stray,Normal,Cat,Maine Coon Mix,Black Tabby,Adoption
Stray,Normal,Dog,Pit Bull Mix,Fawn/White,Transfer
Stray,Injured,Cat,Domestic Shorthair Mix,Orange Tabby,Adoption
Stray,Injured,Dog,Shih Tzu Mix,Brown/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Owner Surrender,Normal,Dog,Black Mouth Cur/Catahoula,Fawn/Black,Adoption
Stray,Normal,Dog,Pembroke Welsh Corgi Mix,Yellow/White,Adoption
Public Assist,Normal,Dog,American Bulldog Mix,White/Brown Brindle,Euthanasia
Owner Surrender,Normal,Cat,Domestic Longhair Mix,Black,Transfer
Stray,Normal,Dog,Beagle Mix,Black/White,Adoption
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,White,Adoption
Stray,Normal,Dog,Yorkshire Terrier Mix,Black/Tan,Adoption
Owner Surrender,Normal,Cat,Manx,Tortie,Adoption
Owner Surrender,Normal,Other,Californian Mix,White/Gray,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Euthanasia
Stray,Normal,Dog,Chihuahua Shorthair Mix,Black/Brown,Transfer
Stray,Normal,Dog,Boxer/Labrador Retriever,Brown/White,Transfer
Stray,Normal,Dog,Basset Hound Mix,White/Tan,Transfer
Owner Surrender,Normal,Dog,Lhasa Apso Mix,White/Black,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Torbie,Return to Owner
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Stray,Normal,Dog,Pit Bull Mix,Black Brindle/Brown,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever/Great Pyrenees,White,Transfer
Public Assist,Normal,Dog,Pit Bull Mix,Brown/White,Adoption
Owner Surrender,Normal,Cat,Domestic Longhair Mix,Blue/White,Transfer
Stray,Normal,Dog,German Shepherd Mix,Black/Brown,Transfer
Stray,Normal,Dog,Maltese/Miniature Poodle,White,Euthanasia
Public Assist,Normal,Dog,German Shepherd,Black/Brown,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Normal,Dog,Shih Tzu,Chocolate/Black,Transfer
Stray,Sick,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Injured,Cat,Domestic Shorthair Mix,White/Orange Tabby,Adoption
Stray,Normal,Dog,American Bulldog Mix,Black/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Calico/White,Transfer
Stray,Normal,Cat,Domestic Shorthair,Tortie,Euthanasia
Stray,Injured,Cat,Domestic Shorthair Mix,Gray/White,Adoption
Stray,Injured,Dog,Chihuahua Shorthair Mix,Tan,Adoption
Stray,Normal,Dog,German Shepherd Mix,Black/Brown,Transfer
Stray,Normal,Dog,Pit Bull Mix,Black/White,Transfer
Owner Surrender,Normal,Dog,German Shepherd Mix,Black/Brown,Adoption
Stray,Normal,Dog,Labrador Retriever,Black,Transfer
Stray,Normal,Dog,Pit Bull Mix,Brown Tiger/White,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Black/Brown Brindle,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Tortie,Transfer
Public Assist,Normal,Cat,Domestic Shorthair Mix,Brown Tabby/White,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Brown,Transfer
Stray,Normal,Dog,Rottweiler,Black/Brown,Transfer
Stray,Normal,Dog,Pit Bull Mix,White/Brown,Transfer
Stray,Normal,Dog,Soft Coated Wheaten Terrier Mix,Tan,Transfer
Owner Surrender,Normal,Dog,American Pit Bull Terrier Mix,White,Adoption
Owner Surrender,Normal,Dog,Golden Retriever Mix,Brown,Transfer
Stray,Normal,Dog,Chow Chow Mix,Red/Black,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Adoption
Stray,Normal,Dog,Chihuahua Shorthair Mix,Cream,Transfer
Stray,Normal,Dog,Boxer Mix,Brown/White,Transfer
Stray,Normal,Dog,Siberian Husky Mix,Black/Tan,Transfer
Owner Surrender,Normal,Dog,Miniature Schnauzer Mix,Blue,Adoption
Public Assist,Normal,Dog,Pit Bull Mix,Blue/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Torbie,Transfer
Public Assist,Normal,Dog,Miniature Poodle Mix,Apricot,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Yorkshire Terrier Mix,Tan,Adoption
Public Assist,Normal,Bird,Chicken Mix,Red/Black,Transfer
Stray,Normal,Dog,Beagle Mix,Tan/White,Adoption
Public Assist,Normal,Dog,Boxer Mix,Brown/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Adoption
Stray,Normal,Dog,Siberian Husky Mix,White/Black,Transfer
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby/White,Transfer
Stray,Normal,Dog,Labrador Retriever/Pit Bull,Buff,Transfer
Stray,Normal,Dog,Anatol Shepherd,Tan/White,Transfer
Public Assist,Normal,Bird,Chicken Mix,White,Transfer
Owner Surrender,Normal,Dog,Alaskan Klee Kai,Black/White,Transfer
Owner Surrender,Sick,Cat,Domestic Shorthair Mix,Blue,Euthanasia
Stray,Normal,Cat,Domestic Shorthair Mix,Torbie,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever Mix,White/Tan,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Calico,Adoption
Stray,Normal,Dog,Great Dane Mix,Blue Merle,Adoption
Stray,Normal,Dog,Yorkshire Terrier Mix,White,Adoption
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Tortie,Adoption
Stray,Normal,Dog,Labrador Retriever/Border Collie,Brown/Black,Transfer
Stray,Normal,Dog,Pit Bull Mix,Brown Brindle/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Calico,Transfer
Stray,Injured,Dog,Staffordshire Mix,Tan/White,Transfer
Stray,Normal,Dog,Papillon Mix,Tricolor/Tan,Transfer
Stray,Normal,Cat,Domestic Medium Hair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Alaskan Malamute Mix,Black/Brown,Transfer
Stray,Normal,Dog,Labrador Retriever/Doberman Pinsch,Chocolate/Tan,Transfer
Stray,Normal,Cat,Domestic Medium Hair Mix,Blue/White,Adoption
Stray,Normal,Cat,Domestic Medium Hair Mix,Brown Tabby/White,Transfer
Public Assist,Normal,Dog,Pit Bull Mix,Blue/White,Transfer
Stray,Feral,Dog,German Shepherd Mix,Red/Black,Transfer
Stray,Normal,Cat,Domestic Shorthair,Black/White,Transfer
Stray,Normal,Cat,Domestic Longhair Mix,Brown Tabby,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Normal,Dog,Great Pyrenees Mix,White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair,Brown Tabby/White,Transfer
Public Assist,Normal,Dog,Miniature Schnauzer Mix,Silver,Adoption
Stray,Injured,Cat,Domestic Shorthair Mix,Orange Tabby,Transfer
Stray,Normal,Dog,Border Terrier/Yorkshire Terrier,Brown,Transfer
Stray,Nursing,Cat,Domestic Shorthair Mix,Brown Tabby/Silver,Adoption
Stray,Nursing,Cat,Domestic Shorthair Mix,White/Orange Tabby,Transfer
Stray,Normal,Dog,Maltese/Miniature Poodle,White,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Black/Tan,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Adoption
Stray,Normal,Dog,Beagle Mix,Brown/Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Stray,Normal,Cat,Domestic Longhair,Blue Tabby/White,Transfer
Public Assist,Normal,Dog,Labrador Retriever Mix,Tan,Transfer
Public Assist,Normal,Other,Rabbit Sh Mix,White/Black,Transfer
Stray,Normal,Dog,German Shepherd Mix,Sable,Transfer
Public Assist,Normal,Dog,Labrador Retriever/Pit Bull,Brown Brindle,Transfer
Abandoned,Normal,Cat,Domestic Shorthair,Black/White,Transfer
Owner Surrender,Normal,Cat,Siamese Mix,Lynx Point,Transfer
Stray,Normal,Dog,Pit Bull Mix,Blue/White,Euthanasia
Stray,Normal,Dog,Labrador Retriever/English Springer Spaniel,Black/White,Adoption
Owner Surrender,Normal,Cat,Domestic Medium Hair Mix,Blue,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black,Adoption
Stray,Normal,Dog,Beagle/Labrador Retriever,Black/White,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black/White,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Owner Surrender,Normal,Dog,Great Pyrenees Mix,Tricolor,Transfer
Stray,Normal,Dog,Alaskan Husky/German Shepherd,Tan/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,White/Brown Tabby,Adoption
Stray,Normal,Cat,Domestic Medium Hair Mix,Black,Adoption
Stray,Normal,Dog,Yorkshire Terrier/Chihuahua Shorthair,Tan/Black,Transfer
Stray,Normal,Cat,Domestic Medium Hair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Labrador Retriever/Blue Lacy,Tan/White,Transfer
Stray,Normal,Dog,Dachshund/Beagle,Blue/Tricolor,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Blue Tabby/White,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby/White,Transfer
Public Assist,Normal,Dog,Labrador Retriever Mix,Yellow/White,Transfer
Stray,Normal,Cat,Domestic Medium Hair,Black,Adoption
Stray,Normal,Dog,Chihuahua Shorthair/Dachshund,Red,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Rottweiler Mix,Black/Tan,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Adoption
Stray,Normal,Cat,Domestic Medium Hair Mix,Brown Tabby,Euthanasia
Public Assist,Normal,Dog,Pit Bull/Labrador Retriever,Tan/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Blue Tabby/Cream,Transfer
Stray,Normal,Dog,Basset Hound/Australian Cattle Dog,Tricolor,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,Blue/White,Adoption
Stray,Normal,Dog,Bulldog Mix,Brown/White,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Buff,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black,Transfer
Stray,Normal,Cat,Siamese Mix,Flame Point,Adoption
Stray,Normal,Dog,Labrador Retriever Mix,Yellow,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Sick,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Cat,Persian,Flame Point,Euthanasia
Public Assist,Normal,Dog,German Shepherd,Brown/Black,Adoption
Stray,Normal,Dog,Pit Bull Mix,Tan/White,Transfer
Stray,Normal,Dog,Chihuahua Shorthair/Pug,Tan,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Owner Surrender,Normal,Dog,Dachshund Mix,Brown,Transfer
Stray,Injured,Cat,Siamese Mix,Tortie Point,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby/White,Adoption
Stray,Normal,Dog,Labrador Retriever/Basset Hound,White,Transfer
Public Assist,Normal,Dog,Jack Russell Terrier,White/Black,Euthanasia
Owner Surrender,Normal,Dog,Pekingese Mix,Cream/White,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,Chocolate,Transfer
Owner Surrender,Normal,Dog,Boxer/Greyhound,White/Brown Brindle,Transfer
Stray,Normal,Dog,American Pit Bull Terrier Mix,Brown/White,Euthanasia
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Pit Bull Mix,Tan/White,Adoption
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby,Adoption
Stray,Normal,Dog,Rat Terrier/Beagle,White/Tricolor,Died
Stray,Normal,Dog,Pit Bull Mix,Blue/White,Transfer
Stray,Normal,Cat,Domestic Shorthair,Blue Tabby,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Normal,Cat,Siamese,Seal Point,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Owner Surrender,Normal,Cat,Domestic Medium Hair Mix,Cream Tabby/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Blue/White,Died
Stray,Normal,Dog,Pit Bull Mix,Brown Brindle/White,Transfer
Owner Surrender,Normal,Cat,Siamese,Seal Point,Adoption
Stray,Normal,Dog,Chihuahua Shorthair,Tricolor,Transfer
Stray,Normal,Dog,Chihuahua Longhair Mix,Tan/White,Adoption
Owner Surrender,Normal,Dog,Alaskan Husky/Labrador Retriever,White/Tan,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair,Black,Adoption
Owner Surrender,Injured,Dog,Dachshund/Beagle,Black/Tan,Transfer
Stray,Normal,Dog,Pit Bull,White,Adoption
Stray,Normal,Dog,Catahoula Mix,White/Brown,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Torbie,Euthanasia
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Torbie,Transfer
Stray,Normal,Dog,Catahoula Mix,Brown Brindle,Transfer
Stray,Normal,Dog,Pointer/American Pit Bull Terrier,White/Black,Transfer
Public Assist,Normal,Dog,Redbone Hound,Red/Brown,Adoption
Stray,Normal,Dog,Cairn Terrier,Black/White,Died
Stray,Normal,Dog,Pit Bull Mix,Fawn/White,Transfer
Stray,Normal,Dog,Alaskan Husky Mix,White,Transfer
Owner Surrender,Normal,Dog,Border Collie Mix,Black/White,Adoption
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,Brown/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Calico,Adoption
Stray,Injured,Cat,Domestic Shorthair Mix,Blue,Adoption
Stray,Normal,Dog,Chihuahua Shorthair/Dachshund,Tan/White,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever Mix,White/Black,Adoption
Stray,Normal,Cat,Domestic Medium Hair Mix,Brown Tabby,Adoption
Owner Surrender,Normal,Cat,Domestic Longhair Mix,Torbie,Euthanasia
Stray,Normal,Dog,Yorkshire Terrier Mix,Brown/Silver,Transfer
Stray,Normal,Dog,Australian Kelpie,Tricolor,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Labrador Retriever/Pointer,Black,Adoption
Owner Surrender,Normal,Cat,Siamese Mix,Seal Point,Adoption
Public Assist,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Adoption
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby/White,Transfer
Stray,Normal,Dog,Australian Cattle Dog Mix,Sable/Tan,Transfer
Public Assist,Normal,Dog,Miniature Schnauzer Mix,White,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Shih Tzu,White/Tan,Transfer
Stray,Normal,Dog,Pit Bull Mix,Tan/White,Transfer
Stray,Injured,Dog,Australian Cattle Dog/Pembroke Welsh Corgi,Tan/White,Transfer
Stray,Normal,Dog,Border Collie Mix,Chocolate/White,Transfer
Stray,Injured,Dog,German Shepherd Mix,Black/Brown,Transfer
Stray,Normal,Dog,German Shepherd Mix,Black/Brown,Adoption
Stray,Normal,Dog,Miniature Poodle Mix,White/White,Adoption
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Tan,Transfer
Stray,Normal,Dog,Wire Hair Fox Terrier Mix,Tan/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Tortie,Transfer
Stray,Normal,Dog,Pekingese Mix,Red/Black,Transfer
Stray,Normal,Dog,Maltese Mix,White/Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
